Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Guinea,8/29/2014,25,141,482,648,2,141,287,430
Nigeria,8/29/2014,3,1,15,19,0,1,6,7
Sierra Leone,8/29/2014,54,37,935,1026,8,34,380,422
Liberia,8/29/2014,382,674,322,1378,168,301,225,694
Sierra Leone,9/5/2014,78,37,1146,1261,11,37,443,491
Nigeria,9/5/2014,3,1,18,22,0,1,7,8
Liberia,9/5/2014,369,888,614,1871,257,401,431,1089
Guinea,9/5/2014,56,152,604,812,3,152,362,517
Senegal,9/5/2014,,,1,1,,,0,0
Senegal,9/8/2014,2,0,1,3,0,0,0,0
Guinea,9/8/2014,47,151,664,862,4,151,400,555
Sierra Leone,9/8/2014,90,37,1234,1361,11,37,461,509
Liberia,9/8/2014,443,969,634,2046,296,420,508,1224
Nigeria,9/8/2014,1,1,19,21,0,1,7,8
Guinea,9/12/2014,32,151,678,861,4,150,403,557
Sierra Leone,9/12/2014,100,37,1287,1424,12,34,478,524
Nigeria,9/12/2014,1,1,19,21,0,1,7,8
Liberia,9/12/2014,453,974,654,2081,211,428,498,1137
Senegal,9/12/2014,2,0,1,3,0,0,0,0
Senegal,9/16/2014,0,0,1,1,0,0,0,0
Sierra Leone,9/16/2014,119,37,1464,1620,11,37,514,562
Guinea,9/16/2014,31,162,743,936,4,162,429,595
Nigeria,9/16/2014,1,1,19,21,0,1,7,8
Liberia,9/16/2014,539,1078,790,2407,261,472,563,1296
Nigeria,9/18/2014,1,1,19,21,0,1,7,8
Guinea,9/18/2014,30,162,750,942,5,161,435,601
Sierra Leone,9/18/2014,123,37,1513,1673,11,34,517,562
Liberia,9/18/2014,675,1233,812,2710,310,518,631,1459
Senegal,9/18/2014,0,0,1,1,0,0,0,0
Nigeria,9/22/2014,0,1,19,20,0,1,7,8
Sierra Leone,9/22/2014,136,37,1640,1813,11,37,545,593
Liberia,9/22/2014,817,1342,863,3022,364,544,670,1578
Senegal,9/22/2014,0,0,1,1,0,0,0,0
Guinea,9/22/2014,28,162,818,1008,5,162,465,632
Liberia,9/24/2014,921,1469,890,3280,413,593,671,1677
Guinea,9/24/2014,28,162,832,1022,5,162,468,635
Nigeria,9/24/2014,0,1,19,20,0,1,7,8
Senegal,9/24/2014,0,0,1,1,0,0,0,0
Sierra Leone,9/24/2014,158,37,1745,1940,11,34,552,597
Sierra Leone,9/26/2014,168,37,1816,2021,11,37,557,605
Liberia,9/26/2014,1005,1539,914,3458,415,623,792,1830
Senegal,9/26/2014,0,0,1,1,0,0,0,0
Guinea,9/26/2014,36,162,876,1074,5,162,481,648
Nigeria,9/26/2014,0,1,19,20,0,1,7,8
Guinea,10/1/2014,37,170,950,1157,5,170,535,710
Senegal,10/1/2014,0,0,1,1,0,0,0,0
Nigeria,10/1/2014,0,1,19,20,0,1,7,8
Sierra Leone,10/1/2014,191,37,2076,2304,11,37,574,622
Liberia,10/1/2014,1113,1656,927,3696,444,664,890,1998
United States of America,10/3/2014,,,1,1,,,0,0
Nigeria,10/3/2014,0,1,19,20,0,1,7,8
Guinea,10/3/2014,45,177,977,1199,0,177,562,739
Liberia,10/3/2014,1190,1713,931,3834,458,677,934,2069
Sierra Leone,10/3/2014,221,37,2179,2437,11,37,575,623
Senegal,10/3/2014,0,0,1,1,0,0,0,0
Nigeria,10/8/2014,0,1,19,20,0,1,7,8
United States of America,10/8/2014,,,1,1,,,0,0
Senegal,10/8/2014,0,0,1,1,0,0,0,0
Guinea,10/8/2014,74,180,1044,1298,2,179,587,768
Sierra Leone,10/8/2014,297,37,2455,2789,31,123,725,879
Liberia,10/8/2014,1188,1795,941,3924,491,701,1018,2210
United States of America,10/10/2014,,,1,1,,,0,0
Senegal,10/10/2014,0,0,1,1,0,0,0,0
Liberia,10/10/2014,1259,1874,943,4076,519,725,1072,2316
Nigeria,10/10/2014,0,1,19,20,0,1,7,8
Spain,10/10/2014,,,1,1,,,0,0
Guinea,10/10/2014,73,180,1097,1350,0,180,598,778
Sierra Leone,10/10/2014,320,37,2593,2950,35,142,753,930
United States of America,10/15/2014,,,2,2,,,1,1
Senegal,10/15/2014,0,0,1,1,0,0,0,0
Nigeria,10/15/2014,0,1,19,20,0,1,7,8
Liberia,10/15/2014,1376,1923,950,4249,,,,2458
Spain,10/15/2014,,,1,1,,,0,0
Guinea,10/15/2014,98,190,1184,1472,0,190,653,843
Sierra Leone,10/15/2014,366,37,2849,3252,100,157,926,1183
Guinea,10/17/2014,111,191,1217,1519,0,191,671,862
Nigeria,10/17/2014,0,1,19,20,0,1,7,8
Spain,10/17/2014,,,1,1,,,0,0
Senegal,10/17/2014,0,0,1,1,0,0,0,0
United States of America,10/17/2014,,,3,3,,,1,1
Liberia,10/17/2014,,,,4262,,,,2484
Sierra Leone,10/17/2014,396,37,2977,3410,107,161,932,1200
Nigeria,10/22/2014,0,1,19,20,0,1,7,8
Spain,10/22/2014,,,1,1,,,0,0
United States of America,10/22/2014,,,3,3,,,1,1
Sierra Leone,10/22/2014,446,37,3223,3706,109,164,986,1259
Senegal,10/22/2014,0,0,1,1,0,0,0,0
Liberia,10/22/2014,1594,2106,965,4665,661,803,1241,2705
Guinea,10/22/2014,58,193,1289,1540,1,193,710,904
Mali,10/25/2014,,,1,1,,,1,1
United States of America,10/25/2014,,,4,4,,,1,1
Sierra Leone,10/25/2014,470,37,3389,3896,109,164,1008,1281
Spain,10/25/2014,,,1,1,,,0,0
Senegal,10/25/2014,0,0,1,1,0,0,0,0
Nigeria,10/25/2014,0,1,19,20,0,1,7,8
Guinea,10/25/2014,47,194,1312,1553,0,194,732,926
Liberia,10/25/2014,1594,2106,965,4665,661,803,1241,2705
Liberia,10/29/2014,2480,1540,2515,6535,,,,2413
Mali,10/29/2014,0,0,1,1,0,0,1,1
Nigeria,10/29/2014,0,1,19,20,0,1,7,8
Senegal,10/29/2014,0,0,1,1,0,0,0,0
Spain,10/29/2014,0,0,1,1,0,0,0,0
Guinea,10/29/2014,316,199,1391,1906,,,,997
United States of America,10/29/2014,0,0,4,4,0,0,1,1
Sierra Leone,10/29/2014,1213,322,3700,5235,,,,1500
Guinea,10/31/2014,54,204,1409,1667,,,,1018
Nigeria,10/31/2014,0,1,19,20,0,1,7,8
Spain,10/31/2014,0,0,1,1,0,0,0,0
United States of America,10/31/2014,0,0,4,4,0,0,1,1
Senegal,10/31/2014,0,0,1,1,0,0,0,0
Mali,10/31/2014,0,0,1,1,0,0,1,1
Liberia,10/31/2014,2480,1540,2515,6535,,,,2413
Sierra Leone,10/31/2014,1238,322,3778,5338,,,,1510
Spain,11/5/2014,0,0,1,1,0,0,0,0
United States of America,11/5/2014,0,0,4,4,0,0,1,1
Guinea,11/5/2014,70,204,1457,1731,0,204,837,1041
Liberia,11/5/2014,2447,1627,2451,6525,,,,2697
Mali,11/5/2014,0,0,1,1,0,0,1,1
Nigeria,11/5/2014,0,1,19,20,0,1,7,8
Senegal,11/5/2014,0,0,1,1,0,0,0,0
Sierra Leone,11/5/2014,623,79,4057,4759,35,142,893,1070
Nigeria,11/7/2014,0,1,19,20,0,1,7,8
Guinea,11/7/2014,77,204,1479,1760,0,204,850,1054
United States of America,11/7/2014,0,0,4,4,0,0,1,1
Senegal,11/7/2014,0,0,1,1,0,0,0,0
Liberia,11/7/2014,2476,1629,2514,6619,,,,2766
Spain,11/7/2014,0,0,1,1,0,0,0,0
Mali,11/7/2014,0,0,1,1,0,0,1,1
Sierra Leone,11/7/2014,634,79,4149,4862,35,174,921,1130
Spain,11/12/2014,0,0,1,1,0,0,0,0
United States of America,11/12/2014,0,0,4,4,0,0,1,1
Mali,11/12/2014,0,2,2,4,0,2,2,4
Nigeria,11/12/2014,0,1,19,20,0,1,7,8
Guinea,11/12/2014,58,208,1612,1878,0,208,934,1142
Sierra Leone,11/12/2014,766,79,4523,5368,35,174,960,1169
Liberia,11/12/2014,2582,1687,2553,6822,,,,2836
Senegal,11/12/2014,0,0,1,1,0,0,0,0
Senegal,11/14/2014,0,0,1,1,0,0,0,0
Guinea,11/14/2014,64,208,1647,1919,0,208,958,1166
Spain,11/14/2014,0,0,1,1,0,0,0,0
Nigeria,11/14/2014,0,1,19,20,0,1,7,8
Mali,11/14/2014,0,1,3,4,,,,3
United States of America,11/14/2014,0,0,4,4,0,0,1,1
Liberia,11/14/2014,2600,1716,2562,6878,,,,2812
Sierra Leone,11/14/2014,824,79,4683,5586,35,174,978,1187
Liberia,11/19/2014,2664,1762,2643,7069,,,,2964
Spain,11/19/2014,0,0,1,1,0,0,0,0
Sierra Leone,11/19/2014,938,79,5056,6073,35,174,1041,1250
Senegal,11/19/2014,0,0,1,1,0,0,0,0
Nigeria,11/19/2014,0,1,19,20,0,1,7,8
Mali,11/19/2014,0,1,5,6,0,1,4,5
United States of America,11/19/2014,0,0,4,4,0,0,1,1
Guinea,11/19/2014,63,210,1698,1971,0,210,982,1192
Spain,11/21/2014,0,0,1,1,0,0,0,0
Liberia,11/21/2014,2663,1750,2669,7082,,,,2963
Nigeria,11/21/2014,0,1,19,20,0,1,7,8
United States of America,11/21/2014,0,0,4,4,0,0,1,1
Sierra Leone,11/21/2014,959,79,5152,6190,35,174,1058,1267
Mali,11/21/2014,0,1,5,6,0,1,5,6
Senegal,11/21/2014,0,0,1,1,0,0,0,0
Guinea,11/21/2014,86,216,1745,2047,0,216,998,1214
Sierra Leone,11/26/2014,1079,79,5441,6599,35,174,1189,1398
Liberia,11/26/2014,2687,1754,2727,7168,,,,3016
Mali,11/26/2014,0,1,7,8,0,1,5,6
United States of America,11/26/2014,0,0,4,4,0,0,1,1
Spain,11/26/2014,0,0,1,1,0,0,0,0
Nigeria,11/26/2014,0,1,19,20,0,1,7,8
Guinea,11/26/2014,74,210,1850,2134,0,210,1050,1260
Senegal,11/26/2014,0,0,1,1,0,0,0,0
Senegal,12/1/2014,0,0,1,1,0,0,0,0
Mali,12/1/2014,0,1,7,8,,,,6
Spain,12/1/2014,0,0,1,1,0,0,0,0
Sierra Leone,12/1/2014,1199,79,5831,7109,35,174,1321,1530
Liberia,12/1/2014,3042,1792,2801,7635,,,,3145
Nigeria,12/1/2014,0,1,19,20,0,1,7,8
Guinea,12/1/2014,24,210,1921,2155,0,210,1102,1312
United States of America,12/1/2014,0,0,4,4,0,0,1,1
Mali,12/3/2014,0,1,7,8,,,,6
Spain,12/3/2014,0,0,1,1,0,0,0,0
Guinea,12/3/2014,25,210,1929,2164,0,210,1117,1327
Senegal,12/3/2014,0,0,1,1,0,0,0,0
Sierra Leone,12/3/2014,1255,79,5978,7312,35,174,1374,1583
Liberia,12/3/2014,3042,1792,2801,7635,,,,3145
United States of America,12/3/2014,0,0,4,4,0,0,1,1
Nigeria,12/3/2014,0,1,19,20,0,1,7,8
Spain,12/10/2014,0,0,1,1,0,0,0,0
Guinea,12/10/2014,20,221,2051,2292,0,221,1207,1428
Senegal,12/10/2014,0,0,1,1,0,0,0,0
Mali,12/10/2014,0,1,7,8,,,,6
Liberia,12/10/2014,3075,1814,2830,7719,,,,3177
Sierra Leone,12/10/2014,1443,79,6375,7897,35,174,1559,1768
Nigeria,12/10/2014,0,1,19,20,0,1,7,8
United States of America,12/10/2014,0,0,4,4,0,0,1,1
Spain,12/15/2014,0,0,1,1,0,0,0,0
Nigeria,12/15/2014,0,1,19,20,0,1,7,8
Guinea,12/15/2014,16,263,2115,2394,0,263,1255,1518
United States of America,12/15/2014,0,0,4,4,0,0,1,1
Mali,12/15/2014,0,1,7,8,,,,6
Liberia,12/15/2014,3050,1801,2946,7797,,,,3290
Senegal,12/15/2014,0,0,1,1,0,0,0,0
Sierra Leone,12/15/2014,1556,79,6638,8273,35,174,1824,2033
Nigeria,12/17/2014,0,1,19,20,0,1,7,8
Senegal,12/17/2014,0,0,1,1,0,0,0,0
Spain,12/17/2014,0,0,1,1,0,0,0,0
Liberia,12/17/2014,3050,1801,2946,7797,,,,3290
Mali,12/17/2014,0,1,7,8,,,,6
United States of America,12/17/2014,0,0,4,4,0,0,1,1
Guinea,12/17/2014,26,263,2127,2416,0,263,1262,1525
Sierra Leone,12/17/2014,1575,79,6702,8356,35,174,1876,2085
Spain,12/22/2014,0,0,1,1,0,0,0,0
United States of America,12/22/2014,0,0,4,4,0,0,1,1
Nigeria,12/22/2014,0,1,19,20,0,1,7,8
Senegal,12/22/2014,0,0,1,1,0,0,0,0
Guinea,12/22/2014,49,263,2259,2571,0,263,1323,1586
Liberia,12/22/2014,2991,1754,3085,7830,,,,3376
Mali,12/22/2014,0,1,7,8,,,,6
Sierra Leone,12/22/2014,1677,287,6975,8939,158,208,2190,2556
Sierra Leone,12/23/2014,1700,287,7017,9004,158,208,2216,2582
Mali,12/23/2014,0,1,7,8,,,,6
Spain,12/23/2014,0,0,1,1,0,0,0,0
Liberia,12/23/2014,2991,1754,3085,7830,,,,3376
Senegal,12/23/2014,0,0,1,1,0,0,0,0
Guinea,12/23/2014,50,263,2284,2597,0,263,1344,1607
Nigeria,12/23/2014,0,1,19,20,0,1,7,8
United States of America,12/23/2014,0,0,4,4,0,0,1,1
Nigeria,12/24/2014,0,1,19,20,0,1,7,8
Senegal,12/24/2014,0,0,1,1,0,0,0,0
Guinea,12/24/2014,50,263,2284,2597,0,263,1344,1607
Sierra Leone,12/24/2014,1700,287,7017,9004,158,208,2216,2582
Spain,12/24/2014,0,0,1,1,0,0,0,0
Mali,12/24/2014,0,1,7,8,,,,6
Liberia,12/24/2014,3020,1757,3085,7862,,,,3384
United States of America,12/24/2014,0,0,4,4,0,0,1,1
Senegal,12/26/2014,0,0,1,1,0,0,0,0
Mali,12/26/2014,0,1,7,8,,,,6
Sierra Leone,12/26/2014,1756,287,7160,9203,158,208,2289,2655
United States of America,12/26/2014,0,0,4,4,0,0,1,1
Nigeria,12/26/2014,0,1,19,20,0,1,7,8
Guinea,12/26/2014,19,269,2342,2630,0,269,1385,1654
Liberia,12/26/2014,3020,1757,3085,7862,,,,3384
Spain,12/26/2014,0,0,1,1,0,0,0,0
United States of America,12/29/2014,0,0,4,4,0,0,1,1
Sierra Leone,12/29/2014,1796,287,7326,9409,158,208,2366,2732
Nigeria,12/29/2014,0,1,19,20,0,1,7,8
Mali,12/29/2014,0,1,7,8,,,,6
Liberia,12/29/2014,3096,1773,3108,7977,,,,3413
Guinea,12/29/2014,36,275,2384,2695,0,275,1422,1697
Senegal,12/29/2014,0,0,1,1,0,0,0,0
Spain,12/29/2014,0,0,1,1,0,0,0,0
United States of America,12/30/2014,0,0,4,4,0,0,1,1
Sierra Leone,12/30/2014,1805,287,7354,9446,158,208,2392,2758
Mali,12/30/2014,0,1,7,8,,,,6
Liberia,12/30/2014,3096,1773,3108,7977,,,,3413
Guinea,12/30/2014,34,275,2397,2706,0,275,1433,1708
Spain,12/30/2014,0,0,1,1,0,0,0,0
Senegal,12/30/2014,0,0,1,1,0,0,0,0
Nigeria,12/30/2014,0,1,19,20,0,1,7,8
Spain,12/31/2014,0,0,1,1,0,0,0,0
Senegal,12/31/2014,0,0,1,1,0,0,0,0
Liberia,12/31/2014,3132,1776,3110,8018,,,,3423
Sierra Leone,12/31/2014,1805,287,7354,9446,158,208,2392,2758
Mali,12/31/2014,0,1,7,8,,,,6
Nigeria,12/31/2014,0,1,19,20,0,1,7,8
United States of America,12/31/2014,0,0,4,4,0,0,1,1
Guinea,12/31/2014,34,276,2397,2707,0,276,1433,1709
Nigeria,1/2/2015,0,1,19,20,0,1,7,8
Spain,1/2/2015,0,0,1,1,0,0,0,0
United States of America,1/2/2015,0,0,4,4,0,0,1,1
Senegal,1/2/2015,0,0,1,1,0,0,0,0
United Kingdom,1/2/2015,0,0,1,0,,,,0
Liberia,1/2/2015,3132,1776,3110,8018,,,,3423
Sierra Leone,1/2/2015,1870,287,7476,9633,158,208,2461,2827
Mali,1/2/2015,0,1,7,8,,,,6
Guinea,1/2/2015,19,276,2435,2730,0,276,1463,1739
Sierra Leone,1/5/2015,1915,287,7570,9772,158,208,2549,2915
Liberia,1/5/2015,3198,1805,3116,8115,,,,3471
Spain,1/5/2015,0,0,1,1,0,0,0,0
Nigeria,1/5/2015,0,1,19,20,0,1,7,8
United Kingdom,1/5/2015,0,0,1,0,,,,0
Guinea,1/5/2015,26,280,2465,2769,0,280,1488,1767
United States of America,1/5/2015,0,0,4,4,0,0,1,1
Mali,1/5/2015,0,1,7,8,,,,6
Senegal,1/5/2015,0,0,1,1,0,0,0,0
United Kingdom,1/6/2015,0,0,1,1,0,0,0,0
Guinea,1/6/2015,22,282,2471,2775,0,282,1499,1781
Sierra Leone,1/6/2015,1819,287,7602,9780,158,208,2577,2943
Liberia,1/6/2015,3223,1816,3118,8157,,,,3496
Spain,1/6/2015,0,0,1,1,0,0,0,0
United States of America,1/6/2015,0,0,4,4,0,0,1,1
Senegal,1/6/2015,0,0,1,1,0,0,0,0
Nigeria,1/6/2015,0,1,19,20,0,1,7,8
Mali,1/6/2015,0,1,7,8,,,,6
Spain,1/7/2015,0,0,1,1,0,0,0,0
Guinea,1/7/2015,22,282,2471,2775,0,282,1499,1781
Senegal,1/7/2015,0,0,1,1,0,0,0,0
Nigeria,1/7/2015,0,1,19,20,0,1,7,8
United Kingdom,1/7/2015,0,0,1,1,0,0,0,0
Mali,1/7/2015,0,1,7,8,,,,6
United States of America,1/7/2015,0,0,4,4,0,0,1,1
Sierra Leone,1/7/2015,1819,287,7602,9780,158,208,2577,2943
Liberia,1/7/2015,3223,1816,3118,8157,,,,3496
United Kingdom,1/8/2015,0,0,1,,,,,0
Mali,1/8/2015,0,1,7,,,,,6
